iter	Passed	Remaining
0	138	138851
1	140	70298
2	142	47466
3	144	35985
4	146	29065
5	148	24648
6	150	21303
7	151	18811
8	153	16938
9	155	15385
10	156	14112
11	158	13043
12	160	12167
13	161	11401
14	163	10733
15	164	10143
16	166	9617
17	169	9268
18	171	8861
19	173	8514
20	175	8189
21	177	7883
22	178	7598
23	180	7348
24	183	7144
25	185	6952
26	187	6755
27	188	6557
28	190	6392
29	192	6220
30	193	6054
31	195	5901
32	196	5760
33	198	5639
34	200	5515
35	201	5396
36	202	5279
37	204	5171
38	206	5085
39	209	5038
40	211	4942
41	212	4856
42	214	4768
43	215	4684
44	217	4605
45	219	4549
46	220	4479
47	222	4419
48	224	4354
49	226	4300
50	227	4241
51	229	4186
52	231	4128
53	232	4070
54	234	4023
55	236	3992
56	238	3945
57	240	3898
58	241	3854
59	243	3807
60	244	3765
61	245	3720
62	247	3680
63	249	3645
64	250	3604
65	252	3569
66	253	3536
67	255	3507
68	258	3483
69	259	3449
70	261	3416
71	262	3388
72	264	3355
73	265	3322
74	266	3290
75	268	3259
76	270	3241
77	272	3220
78	274	3194
79	275	3168
80	278	3156
81	280	3134
82	280	3102
83	282	3079
84	283	3055
85	286	3040
86	287	3020
87	289	2997
88	290	2974
89	292	2953
90	293	2933
91	295	2913
92	296	2894
93	298	2875
94	301	2871
95	302	2851
96	304	2832
97	306	2824
98	308	2810
99	310	2793
100	311	2775
101	313	2759
102	316	2752
103	317	2737
104	319	2719
105	320	2702
106	322	2691
107	324	2679
108	326	2665
109	328	2658
110	331	2652
111	333	2642
112	334	2626
113	336	2611
114	339	2614
115	341	2602
116	342	2586
117	344	2576
118	346	2563
119	347	2549
120	349	2536
121	350	2521
122	352	2514
123	354	2501
124	355	2488
125	356	2476
126	358	2461
127	359	2451
128	361	2439
129	362	2426
130	364	2416
131	365	2405
132	367	2395
133	369	2386
134	370	2375
135	372	2364
136	373	2353
137	375	2347
138	377	2341
139	379	2330
140	380	2320
141	382	2308
142	383	2301
143	385	2293
144	387	2283
145	389	2276
146	390	2268
147	392	2258
148	393	2247
149	394	2238
150	396	2230
151	398	2222
152	399	2213
153	401	2203
154	402	2195
155	404	2190
156	406	2181
157	407	2172
158	409	2163
159	410	2154
160	411	2143
161	413	2137
162	414	2129
163	416	2122
164	418	2118
165	431	2165
166	432	2158
167	434	2149
168	435	2141
169	436	2133
170	438	2126
171	439	2117
172	441	2110
173	443	2103
174	444	2095
175	445	2087
176	447	2078
177	448	2070
178	450	2065
179	451	2058
180	453	2051
181	454	2044
182	456	2036
183	457	2031
184	459	2025
185	461	2018
186	462	2011
187	464	2005
188	466	1999
189	467	1993
190	469	1986
191	470	1979
192	471	1973
193	473	1968
194	475	1961
195	501	2055
196	502	2049
197	506	2052
198	508	2047
199	510	2041
200	513	2039
201	514	2033
202	516	2029
203	518	2023
204	521	2021
205	523	2015
206	524	2010
207	526	2004
208	528	1999
209	530	1994
210	532	1989
211	533	1984
212	536	1981
213	537	1975
214	539	1970
215	542	1970
216	544	1963
217	546	1958
218	547	1952
219	548	1945
220	550	1940
221	551	1933
222	553	1927
223	554	1921
224	555	1914
225	557	1909
226	558	1903
227	560	1896
228	561	1890
229	562	1884
230	564	1878
231	565	1873
